Augmentation,RunID,F1-Score,Recall,Precision,Accuracy,person_F1 score,person_Precision,person_Recall,bicycle_F1 score,bicycle_Precision,bicycle_Recall,car_F1 score,car_Precision,car_Recall,motorcycle_F1 score,motorcycle_Precision,motorcycle_Recall,siren_F1 score,siren_Precision,siren_Recall,bus_F1 score,bus_Precision,bus_Recall,truck_F1 score,truck_Precision,truck_Recall
Top,7_BackgroundNoise_AirAbsorption_ClippingDistortion,0.5609299434809634,0.6891943708466219,0.49938797944923896,0.8054783644303295,0.9281902478338415,0.934251253310855,0.9222245136427352,0.5292682926829269,0.39138413429888086,0.8173553719008264,0.9079947488479072,0.9074915970007758,0.9085705932859603,0.4208527481932294,0.3775928052047455,0.47535638459205337,0.6524296675191816,0.5470181297709924,0.815204678362573,0.3816369465037067,0.2614131969502055,0.7070776255707762,0.10613695278594937,0.07656473960821787,0.17857142857142855
Top,7_AirAbsorption_ClippingDistortion,0.5684370067954951,0.7060582936034533,0.5045187532324564,0.8030236953045501,0.9262758434687264,0.9181202033290143,0.9345792410395248,0.5366511666876126,0.40023868128589546,0.8142780047798936,0.9096736410697348,0.9204336148467074,0.8992057600075418,0.39767136139991055,0.3253126817917394,0.5129762511837983,0.6763537009438648,0.5903723603648632,0.8051075268817205,0.44559409307296216,0.32029043969342474,0.7357850808555033,0.08683924092565425,0.05686329131555122,0.24047619047619045
Top,7_BackgroundNoise_AirAbsorption_ClippingDistortion_TimeStretch,0.5647459836264705,0.7138223134325123,0.49582389690279205,0.8105290935479614,0.9266246923176578,0.9262519005547565,0.92702176003372,0.5095961757990868,0.3857387760382973,0.7781094200997114,0.9109365308655759,0.9185443105228004,0.9034614844887117,0.3866879616083587,0.3045373020650345,0.5606165171382562,0.6507936507936507,0.5335711719110928,0.840723230258114,0.4229125278429956,0.29245283018867924,0.7635719905586152,0.1456703461579681,0.10967098703888335,0.22325179145045712
Top,7_SpecAugment_BackgroundNoise_AirAbsorption_TimeStretch,0.5659080824890661,0.6852180834967871,0.5125112265670559,0.7990773339808183,0.9241715428707906,0.9279125204986192,0.9204974051251631,0.47340124504810416,0.33493408177979195,0.8079514824797844,0.9047148700743157,0.9016716033130382,0.907938411097968,0.41552990846068616,0.41661938119654596,0.4709415584415584,0.6780577094923756,0.5814037319762511,0.813344384583506,0.42249854676877197,0.3110316649642493,0.6814088983050848,0.14298275470841842,0.11400560224089637,0.19444444444444442
Top,7_AirAbsorption,0.5720611291137101,0.7080994612099101,0.5125638566252482,0.8127827228950825,0.9299405197485692,0.9346499793035904,0.925374571608047,0.503804857708746,0.3639687296887413,0.8231048612404545,0.9100884972384257,0.9072529182879377,0.9129728281427311,0.39903379456254884,0.3788949275362319,0.5051878949118723,0.681661333835247,0.5861668297455969,0.8312693498452013,0.4099211290992113,0.2930298719772404,0.6870955462504759,0.1699777716032231,0.12398373983739838,0.27169117647058827
Top,7_AirAbsorption_TimeStretch,0.5702983224603828,0.6874532206578307,0.5171740800630478,0.8146909090909091,0.9284840049686037,0.9276847295737228,0.9294140795518535,0.5158114636375506,0.3801875555387495,0.8019710242587601,0.9117065849403665,0.920290515493477,0.9033441088137035,0.44545785003800276,0.4146209234669334,0.48467274233637114,0.6704697171986891,0.5740675580577059,0.8239795918367347,0.3970090795798469,0.2773066722501396,0.7002185792349727,0.1231495568596199,0.12606060606060607,0.16857241857241856
Top,7_AirAbsorption_ClippingDistortion_TimeStretch,0.5691423357564653,0.6926715318925758,0.5090460489563478,0.8065831634139237,0.9267690618591762,0.928463094685841,0.9253244319855651,0.5104158860996628,0.3718134818055279,0.8140476190476191,0.9111832340090775,0.9130040583892917,0.9096456886299744,0.3902057112851456,0.34296361596409686,0.4573818134848876,0.6486539211861101,0.5662525879917184,0.7810077519379846,0.4641688276848788,0.3278099528099528,0.7952172096908939,0.1325997081712062,0.1130155510480054,0.1660762084711069
Top,7_BackgroundNoise_TimeStretch,0.5632382624629774,0.7068822871940539,0.5008106234460855,0.8071516309540058,0.9222392007418042,0.9163111286502891,0.9283178438049571,0.5458187993006935,0.4070620206983844,0.8282513282513282,0.9056155106847932,0.9159417788621371,0.8958358024077777,0.4000698165860105,0.35757575757575755,0.4607298951048951,0.6776576194515125,0.5790545417053304,0.8203367072918818,0.3767142199723884,0.24495870344397694,0.8182758620689655,0.11455267050363926,0.08477043318672278,0.19642857142857142
Top,7_BackgroundNoise,0.5593062377272426,0.719128795456234,0.4912405410647257,0.807820904201192,0.9240529295347271,0.9166991003392069,0.9317463494118885,0.5143843606532701,0.3673400867196194,0.8587002096436058,0.9051699105280282,0.9162921371615806,0.8946053639028917,0.38011371978484004,0.29099580253101115,0.5539606592238171,0.7096837944664032,0.6192583227981459,0.8315441335935806,0.3699611461874696,0.24978508489146786,0.7637420718816068,0.11177780293595985,0.0783132530120482,0.19960278053624628
Top,7_ClippingDistortion_TimeStretch,0.5596439049113071,0.7158217954227131,0.5020756714117309,0.8004411764705882,0.928762677220125,0.9265963143947011,0.9309441362288877,0.5273109243697479,0.3810287610619469,0.861965811965812,0.9098159659009206,0.9168285046422939,0.9030360768361195,0.453317104171828,0.43612813370473535,0.47940203126783065,0.6460054509837322,0.5385198135198135,0.8326544943820224,0.3536306398553408,0.2302651011667405,0.7671428571428571,0.09866457187745484,0.08516307139188495,0.235607160135462
